"regulation_id","state_code","state_name","topic","subtopic","status","effective_date","summary","source_url_1","citation_1","source_url_2","citation_2","source_quality","verified_by","reviewed_by","verified_at","next_review_due","notes"
"US-NY-SPORTSBOOK-CURRENT-001","NY","New York","sportsbook","general_status","","","","","","","","primary","","","","",""
"US-NY-SWEEPSTAKES-CURRENT-001","NY","New York","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-NC-IGAMING-CURRENT-001","NC","North Carolina","igaming","general_status","","","","","","","","primary","","","","",""
"US-NC-SPORTSBOOK-CURRENT-001","NC","North Carolina","sportsbook","general_status","","","","","","","","primary","","","","",""
"US-NC-SWEEPSTAKES-CURRENT-001","NC","North Carolina","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-ND-IGAMING-CURRENT-001","ND","North Dakota","igaming","general_status","","","","","","","","primary","","","","",""
"US-ND-SPORTSBOOK-CURRENT-001","ND","North Dakota","sportsbook","general_status","","","","","","","","primary","","","","",""
"US-ND-SWEEPSTAKES-CURRENT-001","ND","North Dakota","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-OH-IGAMING-CURRENT-001","OH","Ohio","igaming","general_status","","","","","","","","primary","","","","",""
"US-OH-SPORTSBOOK-CURRENT-001","OH","Ohio","sportsbook","general_status","","","","","","","","primary","","","","",""
"US-OH-SWEEPSTAKES-CURRENT-001","OH","Ohio","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-OK-IGAMING-CURRENT-001","OK","Oklahoma","igaming","general_status","","","","","","","","primary","","","","",""
"US-OK-SPORTSBOOK-CURRENT-001","OK","Oklahoma","sportsbook","general_status","","","","","","","","primary","","","","",""
"US-OK-SWEEPSTAKES-CURRENT-001","OK","Oklahoma","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-OR-IGAMING-CURRENT-001","OR","Oregon","igaming","general_status","","","","","","","","primary","","","","",""
"US-OR-SPORTSBOOK-CURRENT-001","OR","Oregon","sportsbook","general_status","","","","","","","","primary","","","","",""
